confident,confiant
obnoxious,insupportable
navy,bleu marine
heavy,lourd
amazed,étonné
due,approprié
dry,sec
foreign,étranger
genuine,authentique
guilty,coupable
obvious,évident
sharp,tranchant ou persipcace
decent,convenable
thick,épais
dull,ennuyeux
thin,fin
economical,économique (dans le sens « pas cher »)
efficient,efficace
average,moyen
able,capable
