confident,confiant
obnoxious,insupportable
navy,bleu marine
heavy,lourd
amazed,étonné
due,approprié
dry,sec
foreign,étranger
genuine,authentique
guilty,coupable
obvious,évident
sharp,tranchant
decent,convenable
thick,épais
dull,ennuyeux
thin,fin
efficient,efficace
average,moyen
able,capable
